Query Name,Severity
Nifcloud ELB Has Common Private Network,Low
Nifcloud NAS Has Common Private Network,Low
Nifcloud RDB Has Common Private Network,Low
Nifcloud Router Has Common Private Network,Low
Nifcloud Computing Undefined Description To Security Group,Info
Nifcloud Computing Undefined Description To Security Group Rule,Info
Nifcloud NAS Undefined Description To NAS Security Group,Info
Nifcloud RDB Undefined Description To DB Security Group,Info
Name Is Not Snake Case,Info
Output Without Description,Info
Generic Git Module Without Revision,Info
Variable Without Description,Info
Variable Without Type,Info
Beta - CLB Listener Using Insecure Protocols,High
Beta - TKE Cluster Encryption Protection Disabled,High
Beta - CDB Instance Internet Service Enabled,High
Beta - CVM Instance Has Public IP,High
Beta - Security Group Rule Set Accepts All Traffic,High
Beta - CDB Instance Without Backup Policy,Medium
Beta - CLB Instance Log Setting Disabled,Medium
Beta - Disk Encryption Disabled,Medium
Beta - TKE Cluster Has Public Access,Medium
Beta - CVM Instance Using Default Security Group,Low
Beta - CVM Instance Using User Data,Low
Beta - CDB Instance Internet Using Default Intranet Port,Low
Beta - CVM Instance Using Default VPC,Low
Beta - TKE Cluster Log Agent Is Not Enabled,Low
Beta - VPC Flow Logs Disabled,Low
Beta - CVM Instance Disable Monitor Service,Info
Containers With Sys Admin Capabilities,High
Privilege Escalation Allowed,High
PSP Set To Privileged,High
Tiller (Helm v2) Is Deployed,High
Workload Mounting With Sensitive OS Directory,High
Volume Mount With OS Directory Write Permissions,High
Docker Daemon Socket is Exposed to Containers,Medium
Missing App Armor Config,Medium
Readiness Probe Is Not Configured,Medium
Container Host Pid Is True,Medium
Container Resources Limits Undefined,Medium
Containers With Added Capabilities,Medium
NET_RAW Capabilities Not Being Dropped,Medium
Seccomp Profile Is Not Configured,Medium
Service Account Name Undefined Or Empty,Medium
Service Account Token Automount Not Disabled,Medium
Memory Limits Not Defined,Medium
Memory Requests Not Defined,Medium
Shared Host IPC Namespace,Medium
Shared Host Network Namespace,Medium
Shared Service Account,Medium
Metadata Label Is Invalid,Low
No Drop Capabilities for Containers,Low
Root Container Not Mounted As Read-only,Low
Image Pull Policy Of The Container Is Not Set To Always,Low
Image Without Digest,Low
Pod or Container Without Security Context,Low
Using Default Namespace,Low
Workload Host Port Not Specified,Low
CPU Limits Not Set,Low
CPU Requests Not Set,Low
Secrets As Environment Variables,Low
Invalid Image,Low
Liveness Probe Is Not Defined,Info
Cluster Allows Unsafe Sysctls,High
Container Runs Unmasked,High
PSP Allows Containers To Share The Host Network Namespace,High
PSP Allows Privilege Escalation,High
PSP Allows Sharing Host IPC,High
PSP With Added Capabilities,High
Root Containers Admitted,Medium
NET_RAW Capabilities Disabled for PSP,Medium
Permissive Access to Create Pods,Medium
RBAC Roles with Read Secrets Permissions,Medium
Role Binding To Default Service Account,Medium
Service Account Allows Access Secrets,Medium
Service With External Load Balancer,Medium
Service Type is NodePort,Low
Default Service Account In Use,Low
Incorrect Volume Claim Access Mode ReadWriteOnce,Medium
StatefulSet Without PodDisruptionBudget,Low
StatefulSet Without Service Name,Low
StatefulSet Requests Storage,Low
DB Snapshot Is Public,High
There are non GCP-managed service account keys for a service account,High
